timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1635225744379,1032,S05_Organization_T001a_Login_Landing,200,OK,S05_Organization 5-1,text,true,,2712,466,1,6,https://ui1.prd.dna.informa-labs.com/,1031,0,915
1635225744378,1035,S03_Drugs_T001a_Login_Landing,200,OK,S03_Drugs 3-1,text,true,,2712,466,1,6,https://ui1.prd.dna.informa-labs.com/,1022,0,918
1635225744375,1039,S06_Company_T001a_Login_Landing,200,OK,S06_Company 6-1,text,true,,2712,466,1,6,https://ui1.prd.dna.informa-labs.com/,1024,0,924
1635225744378,1030,S04_Person_T001a_Login_Landing,200,OK,S04_Person 4-1,text,true,,2712,466,1,6,https://ui1.prd.dna.informa-labs.com/,1023,0,920
1635225744375,1036,S02_AncillaryData_T001a_Login_Landing,200,OK,S02_AncillaryData 2-1,text,true,,2712,466,1,6,https://ui1.prd.dna.informa-labs.com/,1035,0,920
1635225744378,1024,S01_ClinicalTrials_T001a_Login_Landing,200,OK,S01_ClinicalTrials 1-1,text,true,,2712,466,1,6,https://ui1.prd.dna.informa-labs.com/,1019,0,916
1635225745423,863,S03_Drugs_T001b_Login_discovery_instance,200,OK,S03_Drugs 3-1,text,true,,2092,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,863,0,740
1635225745431,870,S01_ClinicalTrials_T001b_Login_discovery_instance,200,OK,S01_ClinicalTrials 1-1,text,true,,2092,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,870,0,739
1635225745423,888,S05_Organization_T001b_Login_discovery_instance,200,OK,S05_Organization 5-1,text,true,,2091,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,888,0,749
1635225745428,883,S04_Person_T001b_Login_discovery_instance,200,OK,S04_Person 4-1,text,true,,2092,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,883,0,739
1635225745429,885,S06_Company_T001b_Login_discovery_instance,200,OK,S06_Company 6-1,text,true,,2092,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,885,0,742
1635225745428,887,S02_AncillaryData_T001b_Login_discovery_instance,200,OK,S02_AncillaryData 2-1,text,true,,2093,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,887,0,739
1635225746291,767,S03_Drugs_T001c_Login_openid_configuration,200,OK,S03_Drugs 3-1,text,true,,2567,801,1,6,https://login.microsoftonline.com/d6226454-95de-49e5-a725-aa078e128080/v2.0/.well-known/openid-configuration,767,0,0
1635225746312,763,S05_Organization_T001c_Login_openid_configuration,200,OK,S05_Organization 5-1,text,true,,2567,801,1,6,https://login.microsoftonline.com/d6226454-95de-49e5-a725-aa078e128080/v2.0/.well-known/openid-configuration,763,0,0
1635225746316,758,S02_AncillaryData_T001c_Login_openid_configuration,200,OK,S02_AncillaryData 2-1,text,true,,2567,801,1,6,https://login.microsoftonline.com/d6226454-95de-49e5-a725-aa078e128080/v2.0/.well-known/openid-configuration,758,0,0
1635225746316,767,S06_Company_T001c_Login_openid_configuration,200,OK,S06_Company 6-1,text,true,,2567,801,1,6,https://login.microsoftonline.com/d6226454-95de-49e5-a725-aa078e128080/v2.0/.well-known/openid-configuration,767,0,0
1635225746312,941,S04_Person_T001c_Login_openid_configuration,200,OK,S04_Person 4-1,text,true,,2568,801,1,6,https://login.microsoftonline.com/d6226454-95de-49e5-a725-aa078e128080/v2.0/.well-known/openid-configuration,941,0,0
1635225746303,953,S01_ClinicalTrials_T001c_Login_openid_configuration,200,OK,S01_ClinicalTrials 1-1,text,true,,2568,801,1,6,https://login.microsoftonline.com/d6226454-95de-49e5-a725-aa078e128080/v2.0/.well-known/openid-configuration,953,0,0
1635225747087,652,S05_Organization_T001d_Login_authorize_1,200,OK,S05_Organization 5-1,text,true,,51053,1422,1,6,https://login.microsoftonline.com/d6226454-95de-49e5-a725-aa078e128080/oauth2/v2.0/authorize?response_type=id_token&scope=https%3A%2F%2Fmeenakshimuralidharanmindtr.onmicrosoft.com%2Fec9d67a6-4db3-4c2b-9629-829003e10247%2Fuser+openid+profile&client_id=7f2d1e8b-4209-482f-b1d9-470c988a3a0a&redirect_uri=https%3A%2F%2Fui1.prd.dna.informa-labs.com&state=eyJpZCI6IjQ4N2Y0NzM0LTYzYjMtNDBkOS05MWI2LThkMTRhZmJlNTVlMyIsInRzIjoxNjM1MjI1NzQ3MDc3LCJtZXRob2QiOiJyZWRpcmVjdEludGVyYWN0aW9uIn0%3D&nonce=cba9b6a7-ddd5-4e83-9736-876433a86638&client_info=1&x-client-SKU=MSAL.JS&x-client-Ver=1.4.14&client-request-id=1ec27958-9f27-4b27-812f-ff79a0c9d465&response_mode=fragment,539,0,0
1635225747079,1231,S02_AncillaryData_T001d_Login_authorize_1,200,OK,S02_AncillaryData 2-1,text,true,,51017,1422,1,6,https://login.microsoftonline.com/d6226454-95de-49e5-a725-aa078e128080/oauth2/v2.0/authorize?response_type=id_token&scope=https%3A%2F%2Fmeenakshimuralidharanmindtr.onmicrosoft.com%2Fec9d67a6-4db3-4c2b-9629-829003e10247%2Fuser+openid+profile&client_id=7f2d1e8b-4209-482f-b1d9-470c988a3a0a&redirect_uri=https%3A%2F%2Fui1.prd.dna.informa-labs.com&state=eyJpZCI6Ijk4ZmNkN2EzLWFiMTUtNDY4Zi1hMjRkLTJhYzhjMDk2NmZlYyIsInRzIjoxNjM1MjI1NzQ3MDc4LCJtZXRob2QiOiJyZWRpcmVjdEludGVyYWN0aW9uIn0%3D&nonce=f308e76c-0885-409a-b61d-8413537435dc&client_info=1&x-client-SKU=MSAL.JS&x-client-Ver=1.4.14&client-request-id=1bce7779-ddec-433c-9081-7de6749323bb&response_mode=fragment,1121,0,0
