timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1635235788570,1012,S01_ClinicalTrials_T001a_Login_Landing,200,OK,S01_ClinicalTrials 1-1,text,true,,2804,466,1,6,https://ui1.prd.dna.informa-labs.com/,1006,0,974
1635235788576,1006,S04_Person_T001a_Login_Landing,200,OK,S04_Person 4-1,text,true,,2804,466,1,6,https://ui1.prd.dna.informa-labs.com/,1003,0,968
1635235788677,905,S05_Organization_T001a_Login_Landing,200,OK,S05_Organization 5-1,text,true,,2804,466,1,6,https://ui1.prd.dna.informa-labs.com/,901,0,873
1635235788810,777,S06_Company_T001a_Login_Landing,200,OK,S06_Company 6-1,text,true,,2811,466,1,6,https://ui1.prd.dna.informa-labs.com/,768,0,741
1635235788574,1014,S02_AncillaryData_T001a_Login_Landing,200,OK,S02_AncillaryData 2-1,text,true,,2804,466,1,6,https://ui1.prd.dna.informa-labs.com/,1005,0,972
1635235788579,1004,S03_Drugs_T001a_Login_Landing,200,OK,S03_Drugs 3-1,text,true,,2811,466,1,6,https://ui1.prd.dna.informa-labs.com/,999,0,968
1635235789611,298,S06_Company_T001b_Login_discovery_instance,200,OK,S06_Company 6-1,text,true,,2094,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,298,0,260
1635235789608,304,S03_Drugs_T001b_Login_discovery_instance,200,OK,S03_Drugs 3-1,text,true,,2094,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,304,0,280
1635235789610,315,S02_AncillaryData_T001b_Login_discovery_instance,200,OK,S02_AncillaryData 2-1,text,true,,2094,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,315,0,276
1635235789608,324,S04_Person_T001b_Login_discovery_instance,200,OK,S04_Person 4-1,text,true,,2094,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,323,0,284
1635235789609,321,S05_Organization_T001b_Login_discovery_instance,200,OK,S05_Organization 5-1,text,true,,2094,595,1,6,https://login.microsoftonline.com/common//discovery/instance?api-version=1.1&authorization_endpoint=https%3A%2F%2Flogin.microsoftonline.com%2Fd6226454-95de-49e5-a725-aa078e128080%2Foauth2%2Fv2.0%2Fauthorize,321,0,290
